ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
102,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
413,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
30,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
298,y,y,y,n,n,y,y,y,y,y,n,n,unknown,n,y,unknown
95,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
340,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
237,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
368,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,unknown
27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
182,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
43,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
418,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
130,unknown,unknown,y,n,n,n,y,y,unknown,n,unknown,unknown,unknown,unknown,unknown,unknown
204,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
220,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
175,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
13,n,y,y,n,n,n,y,y,y,n,n,n,y,n,unknown,unknown
348,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
302,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
132,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
322,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
416,n,y,y,n,n,y,y,y,unknown,y,n,n,n,n,n,y
73,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
248,n,y,n,y,y,y,unknown,n,n,n,n,unknown,y,y,n,n
419,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
212,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
385,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
48,y,n,y,n,n,n,y,y,unknown,n,n,n,n,n,n,unknown
319,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
350,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
4,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
274,n,n,n,y,y,n,y,y,n,y,n,y,y,y,unknown,y
25,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
408,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
381,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
75,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
144,unknown,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
234,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
346,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
26,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
187,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
399,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
197,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,unknown
277,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
375,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
307,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
124,y,unknown,n,y,y,y,n,y,n,n,n,y,y,y,n,y
245,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
128,n,unknown,y,n,n,n,y,y,y,y,y,n,n,y,y,y
42,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
20,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
8,n,y,n,y,y,y,n,n,n,n,n,n,y,y,unknown,y
396,y,y,y,unknown,n,n,n,y,n,n,y,unknown,n,n,y,y
185,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
145,n,unknown,n,n,n,y,y,y,y,y,n,n,n,y,n,unknown
254,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
287,n,n,y,n,n,y,unknown,y,unknown,y,y,y,n,y,y,unknown
134,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
74,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
259,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
155,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
67,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
431,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
55,y,y,y,n,n,y,unknown,y,n,n,y,y,n,y,n,unknown
147,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
224,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
421,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
172,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
35,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
281,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
198,n,unknown,y,y,y,y,n,n,n,y,n,n,n,y,n,y
387,n,unknown,y,n,y,y,n,y,n,n,y,n,n,n,n,unknown
284,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
215,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
167,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
94,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
337,n,n,y,n,n,y,y,y,n,n,y,n,n,y,unknown,y
430,y,n,y,n,unknown,n,y,y,y,y,n,y,n,unknown,y,y
121,n,unknown,unknown,y,y,y,n,n,n,y,n,y,y,y,unknown,y
80,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
404,n,y,n,y,y,y,n,n,n,y,n,y,unknown,y,n,n
371,y,y,y,n,unknown,y,y,y,n,y,unknown,unknown,n,n,y,y
356,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
250,y,n,y,n,n,n,y,y,unknown,n,y,n,n,n,y,y
105,unknown,unknown,unknown,unknown,n,y,y,y,y,y,unknown,n,y,y,n,unknown
84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
432,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
76,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
184,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown
206,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
389,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,unknown
166,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,unknown
380,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
72,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
423,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
434,n,n,n,y,y,y,unknown,unknown,unknown,unknown,n,y,y,y,n,y
125,n,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
317,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
32,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
415,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
211,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
344,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
258,n,n,n,y,y,n,n,n,n,n,n,y,n,y,unknown,y
1,n,y,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
253,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
108,n,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown
195,n,n,y,n,n,y,y,unknown,y,y,y,n,n,n,y,y
159,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
295,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,unknown
19,n,y,n,y,y,y,n,n,n,n,n,unknown,y,y,n,n
217,y,y,y,n,y,y,n,n,unknown,y,n,n,n,y,y,unknown
252,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
69,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
342,n,unknown,y,unknown,n,y,y,y,y,y,y,n,unknown,unknown,y,y
273,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,unknown
38,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
402,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
209,n,n,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
329,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
152,y,y,unknown,y,y,y,n,n,y,n,y,unknown,y,y,n,n
251,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
242,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
93,y,y,y,n,n,n,y,y,n,y,y,n,n,unknown,y,y
343,n,y,y,n,y,unknown,y,n,n,y,y,n,y,n,y,y
46,y,y,y,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
232,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
196,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
191,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
65,y,y,y,n,n,n,y,y,y,n,y,unknown,n,n,n,y
327,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
351,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
286,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
111,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
85,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
393,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
231,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
230,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
44,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
89,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
283,y,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
425,n,y,y,n,n,unknown,y,y,y,y,y,n,unknown,y,y,y
98,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
365,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
341,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
53,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
97,n,n,unknown,n,y,y,n,n,n,n,y,y,y,y,n,y
330,y,unknown,y,n,n,y,y,y,y,y,n,n,n,n,y,unknown
148,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
409,y,n,y,n,n,y,y,y,y,n,n,y,unknown,y,y,y
357,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
331,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
352,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
262,y,n,y,n,n,unknown,y,y,y,n,unknown,unknown,n,unknown,unknown,unknown
61,y,y,y,n,n,unknown,y,y,y,y,n,n,n,n,y,unknown
126,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
161,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
154,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
203,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
50,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
77,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,unknown
362,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,unknown
310,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
62,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
36,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
376,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
34,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
92,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
160,n,y,y,n,unknown,y,y,y,y,y,y,n,n,unknown,n,unknown
363,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
311,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
118,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
417,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
83,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
136,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
37,y,unknown,n,y,y,y,n,n,n,y,n,y,unknown,y,n,y
292,y,n,y,n,n,y,y,y,y,y,n,unknown,n,y,n,y
377,y,unknown,y,n,n,n,y,y,y,n,y,n,n,n,y,y
336,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,unknown
101,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
82,y,n,y,n,n,n,y,y,unknown,y,y,y,n,y,n,y
189,y,unknown,n,y,y,y,y,y,n,n,n,y,unknown,y,unknown,unknown
247,n,n,y,n,y,n,y,y,y,n,n,n,n,y,unknown,y
388,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,unknown
162,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
411,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
294,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
312,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
79,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
81,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,unknown
78,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
39,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
221,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
384,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
300,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
63,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,unknown
229,n,y,n,y,y,y,n,n,n,n,n,y,y,unknown,n,y
174,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
114,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
305,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
122,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
433,n,unknown,n,y,y,y,n,n,n,n,y,y,y,y,n,y
406,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
378,n,y,n,y,y,y,unknown,unknown,n,n,unknown,unknown,y,unknown,unknown,unknown
22,y,y,y,n,n,n,y,y,y,n,n,n,unknown,unknown,y,y
49,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
153,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
366,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
216,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,unknown
179,unknown,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,unknown
256,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
278,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
264,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
226,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,y
